cluster_id,issue,category,priority,severity,affected_urls_count,affected_templates_count,primary_affected_template,scope,evidence_summary,recommended_action,engineering_fix_location,sample_urls,laya_action
cluster_missing_image_alt,missing_image_alt,images,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review missing image alt on affected pages.,Global layout / site-wide metadata service,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/about-us', 'https://www.drivio.in/adventure', 'https://www.drivio.in/aeroride-ev', 'https://www.drivio.in/aftek-motors-scooters', 'https://www.drivio.in/amo-electric-ev', 'https://www.drivio.in/ampere-ev', 'https://www.drivio.in/application']",investigate
cluster_missing_image_dimensions,missing_image_dimensions,images,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review missing image dimensions on affected pages.,Global layout / site-wide metadata service,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/about-us', 'https://www.drivio.in/adventure', 'https://www.drivio.in/aeroride-ev', 'https://www.drivio.in/aftek-motors-scooters', 'https://www.drivio.in/amo-electric-ev', 'https://www.drivio.in/ampere-ev', 'https://www.drivio.in/application']",investigate
cluster_long_title_truncated,long_title_truncated,metadata,P3,low,62,26,tpl_listing_bajaj_2seg,site_wide,"Observed on 62 URLs across 26 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (13 pages affected, 21.0% of total occurrences).",Routine hygiene cleanup: review long title truncated on affected pages.,Global layout / site-wide metadata service,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/aeroride-ev', 'https://www.drivio.in/amo-electric-ev', 'https://www.drivio.in/ampere-ev', 'https://www.drivio.in/aprilia-bikes', 'https://www.drivio.in/avera-ev', 'https://www.drivio.in/bajaj-bikes', 'https://www.drivio.in/battre-electric-mobility-ev']",investigate
cluster_long_meta_description,long_meta_description,metadata,P3,low,24,16,tpl_listing_bajaj_2seg,page_opportunity,"Observed on 24 URLs across 16 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (5 pages affected, 20.8% of total occurrences).",Routine hygiene cleanup: review long meta description on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/adventure', 'https://www.drivio.in/ampere-ev', 'https://www.drivio.in/avan-motors-scooters', 'https://www.drivio.in/big-dog-motorcycles-scooters', 'https://www.drivio.in/amo-electric/jaunty-3w', 'https://www.drivio.in/ampere/magnus', 'https://www.drivio.in/ampere/reo-li-plus']",investigate
cluster_low_text_to_html_ratio,low_text_to_html_ratio,content,P3,low,15,15,tpl_category_Nmotors-scooters_1seg,page_opportunity,"Observed on 15 URLs across 15 templates. Primary concentration in 'tpl_category_Nmotors-scooters_1seg' (1 pages affected, 6.7% of total occurrences).",Routine hygiene cleanup: review low text to html ratio on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/aeroride-ev', 'https://www.drivio.in/aftek-motors-scooters', 'https://www.drivio.in/amo-electric-ev', 'https://www.drivio.in/ampere-ev', 'https://www.drivio.in/application', 'https://www.drivio.in/atumobile-ev', 'https://www.drivio.in/avan-motors-scooters']",investigate
cluster_page_has_nofollow,page_has_nofollow,internal_linking,P3,low,11,10,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 11 URLs across 10 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 18.2% of total occurrences).",Routine hygiene cleanup: review page has nofollow on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/22motors-scooters', 'https://www.drivio.in/avan-motors-scooters', 'https://www.drivio.in/avera-scooters-scooters', 'https://www.drivio.in/bajaj-urbanite-scooters', 'https://www.drivio.in/battre-electric-scooters-scooters', 'https://www.drivio.in/big-dog-motorcycles-scooters', 'https://www.drivio.in/bird-scooters', 'https://www.drivio.in/22motors/jawatest1']",investigate
cluster_template_empty_anchor_text,template_empty_anchor_text,internal_linking,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template empty anchor text on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/aeroride/aero', 'https://www.drivio.in/amo-electric/inspirer', 'https://www.drivio.in/aprilia/rs-457', 'https://www.drivio.in/ather-energy/450x', 'https://www.drivio.in/avon/e-mate', 'https://www.drivio.in/bajaj/avenger-cruise-220', 'https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie', 'https://www.drivio.in/benelli/502-c']",fix_template
cluster_template_missing_image_alt,template_missing_image_alt,images,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template missing image alt on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/aeroride/aero', 'https://www.drivio.in/amo-electric/inspirer', 'https://www.drivio.in/aprilia/rs-457', 'https://www.drivio.in/ather-energy/450x', 'https://www.drivio.in/avon/e-mate', 'https://www.drivio.in/bajaj/avenger-cruise-220', 'https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie', 'https://www.drivio.in/benelli/502-c']",fix_template
cluster_template_missing_image_dimensions,template_missing_image_dimensions,images,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template missing image dimensions on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/aeroride/aero', 'https://www.drivio.in/amo-electric/inspirer', 'https://www.drivio.in/aprilia/rs-457', 'https://www.drivio.in/ather-energy/450x', 'https://www.drivio.in/avon/e-mate', 'https://www.drivio.in/bajaj/avenger-cruise-220', 'https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie', 'https://www.drivio.in/benelli/502-c']",fix_template
cluster_template_orphan_page,template_orphan_page,internal_linking,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template orphan page on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/aeroride/aero', 'https://www.drivio.in/amo-electric/inspirer', 'https://www.drivio.in/aprilia/rs-457', 'https://www.drivio.in/ather-energy/450x', 'https://www.drivio.in/avon/e-mate', 'https://www.drivio.in/bajaj/avenger-cruise-220', 'https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie', 'https://www.drivio.in/benelli/502-c']",fix_template
cluster_template_long_title_truncated,template_long_title_truncated,metadata,P3,medium,8,8,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 8 URLs across 8 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 12.5% of total occurrences).",Routine hygiene cleanup: review template long title truncated on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/aeroride/aero', 'https://www.drivio.in/amo-electric/inspirer', 'https://www.drivio.in/aprilia/rs-457', 'https://www.drivio.in/avon/e-mate', 'https://www.drivio.in/bajaj/avenger-cruise-220', 'https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie', 'https://www.drivio.in/benelli/502-c', 'https://www.drivio.in/benling-india/benling-aura']",fix_template
cluster_duplicate_meta_description,duplicate_meta_description,duplicates,P3,low,7,6,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 7 URLs across 6 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 28.6% of total occurrences).",Routine hygiene cleanup: review duplicate meta description on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/about-us', 'https://www.drivio.in/application', 'https://www.drivio.in/banking-partners', 'https://www.drivio.in/22motors/jawatest1', 'https://www.drivio.in/bgauss/bgauss-c12i', 'https://www.drivio.in/22motors/testmodel', 'https://www.drivio.in/22motors/testmodel1']",investigate
cluster_exact_duplicate_content,exact_duplicate_content,duplicates,P3,high,4,3,tpl_model_Nmotors_2seg,template,"Observed on 4 URLs across 3 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 50.0% of total occurrences).",Routine hygiene cleanup: review exact duplicate content on affected pages.,Template component: 'tpl_model_Nmotors_2seg',"['https://www.drivio.in/22motors/jawatest1', 'https://www.drivio.in/bgauss/bgauss-c12i', 'https://www.drivio.in/22motors/testmodel', 'https://www.drivio.in/22motors/testmodel1']",investigate
cluster_short_title,short_title,metadata,P3,low,3,3,tpl_category_about-us_1seg,page_opportunity,"Observed on 3 URLs across 3 templates. Primary concentration in 'tpl_category_about-us_1seg' (1 pages affected, 33.3% of total occurrences).",Routine hygiene cleanup: review short title on affected pages.,Individual page content / route handlers,"['https://www.drivio.in/about-us', 'https://www.drivio.in/application', 'https://www.drivio.in/banking-partners']",investigate
cluster_multiple_h1,multiple_h1,headings,P3,medium,1,1,tpl_category_adventure_1seg,template,"Observed on 1 URLs across 1 templates. Primary concentration in 'tpl_category_adventure_1seg' (1 pages affected, 100.0% of total occurrences).",Routine hygiene cleanup: review multiple h1 on affected pages.,Template component: 'tpl_category_adventure_1seg',['https://www.drivio.in/adventure'],investigate
cluster_heading_hierarchy_skipped_h2,heading_hierarchy_skipped_h2,headings,P3,low,1,1,tpl_category_application_1seg,template,"Observed on 1 URLs across 1 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 100.0% of total occurrences).",Routine hygiene cleanup: review heading hierarchy skipped h2 on affected pages.,Template component: 'tpl_category_application_1seg',['https://www.drivio.in/application'],investigate
