id,crawl_id,cluster_id,issue,category,priority,severity,affected_urls_count,affected_templates_count,primary_affected_template,scope,evidence_summary,recommended_action,engineering_fix_location,sample_urls
11,crawl_20260924_001246,cluster_missing_image_alt,missing_image_alt,images,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review missing image alt on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/about-us"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application""]"
12,crawl_20260924_001246,cluster_missing_image_dimensions,missing_image_dimensions,images,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review missing image dimensions on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/about-us"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application""]"
13,crawl_20260924_001246,cluster_long_title_truncated,long_title_truncated,metadata,P3,low,62,26,tpl_listing_bajaj_2seg,site_wide,"Observed on 62 URLs across 26 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (13 pages affected, 21.0% of total occurrences).",Routine hygiene cleanup: review long title truncated on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/aprilia-bikes"", ""https://www.drivio.in/avera-ev"", ""https://www.drivio.in/bajaj-bikes"", ""https://www.drivio.in/battre-electric-mobility-ev""]"
14,crawl_20260924_001246,cluster_long_meta_description,long_meta_description,metadata,P3,low,24,16,tpl_listing_bajaj_2seg,page_opportunity,"Observed on 24 URLs across 16 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (5 pages affected, 20.8% of total occurrences).",Routine hygiene cleanup: review long meta description on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/amo-electric/jaunty-3w"", ""https://www.drivio.in/ampere/magnus"", ""https://www.drivio.in/ampere/reo-li-plus""]"
15,crawl_20260924_001246,cluster_low_text_to_html_ratio,low_text_to_html_ratio,content,P3,low,15,15,tpl_category_Nmotors-scooters_1seg,page_opportunity,"Observed on 15 URLs across 15 templates. Primary concentration in 'tpl_category_Nmotors-scooters_1seg' (1 pages affected, 6.7% of total occurrences).",Routine hygiene cleanup: review low text to html ratio on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application"", ""https://www.drivio.in/atumobile-ev"", ""https://www.drivio.in/avan-motors-scooters""]"
16,crawl_20260924_001246,cluster_page_has_nofollow,page_has_nofollow,internal_linking,P3,low,11,10,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 11 URLs across 10 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 18.2% of total occurrences).",Routine hygiene cleanup: review page has nofollow on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/bird-scooters"", ""https://www.drivio.in/22motors/jawatest1""]"
17,crawl_20260924_001246,cluster_template_empty_anchor_text,template_empty_anchor_text,internal_linking,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template empty anchor text on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-660"", ""https://www.drivio.in/ather-energy/450-apex"", ""https://www.drivio.in/avon/e-lite"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c""]"
18,crawl_20260924_001246,cluster_template_missing_image_alt,template_missing_image_alt,images,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template missing image alt on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-660"", ""https://www.drivio.in/ather-energy/450-apex"", ""https://www.drivio.in/avon/e-lite"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c""]"
19,crawl_20260924_001246,cluster_template_missing_image_dimensions,template_missing_image_dimensions,images,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template missing image dimensions on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-660"", ""https://www.drivio.in/ather-energy/450-apex"", ""https://www.drivio.in/avon/e-lite"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c""]"
20,crawl_20260924_001246,cluster_template_orphan_page,template_orphan_page,internal_linking,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template orphan page on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-660"", ""https://www.drivio.in/ather-energy/450-apex"", ""https://www.drivio.in/avon/e-lite"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c""]"
21,crawl_20260924_001246,cluster_template_long_title_truncated,template_long_title_truncated,metadata,P3,medium,8,8,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 8 URLs across 8 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 12.5% of total occurrences).",Routine hygiene cleanup: review template long title truncated on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-660"", ""https://www.drivio.in/avon/e-lite"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c"", ""https://www.drivio.in/benling-india/benling-aura""]"
22,crawl_20260924_001246,cluster_duplicate_meta_description,duplicate_meta_description,duplicates,P3,low,7,6,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 7 URLs across 6 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 28.6% of total occurrences).",Routine hygiene cleanup: review duplicate meta description on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/about-us"", ""https://www.drivio.in/application"", ""https://www.drivio.in/banking-partners"", ""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/bgauss/bgauss-c12i"", ""https://www.drivio.in/22motors/testmodel"", ""https://www.drivio.in/22motors/testmodel1""]"
23,crawl_20260924_001246,cluster_exact_duplicate_content,exact_duplicate_content,duplicates,P3,high,4,3,tpl_model_Nmotors_2seg,template,"Observed on 4 URLs across 3 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 50.0% of total occurrences).",Routine hygiene cleanup: review exact duplicate content on affected pages.,Template component: 'tpl_model_Nmotors_2seg',"[""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/bgauss/bgauss-c12i"", ""https://www.drivio.in/22motors/testmodel"", ""https://www.drivio.in/22motors/testmodel1""]"
24,crawl_20260924_001246,cluster_short_title,short_title,metadata,P3,low,3,3,tpl_category_about-us_1seg,page_opportunity,"Observed on 3 URLs across 3 templates. Primary concentration in 'tpl_category_about-us_1seg' (1 pages affected, 33.3% of total occurrences).",Routine hygiene cleanup: review short title on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/about-us"", ""https://www.drivio.in/application"", ""https://www.drivio.in/banking-partners""]"
25,crawl_20260924_001246,cluster_multiple_h1,multiple_h1,headings,P3,medium,1,1,tpl_category_adventure_1seg,template,"Observed on 1 URLs across 1 templates. Primary concentration in 'tpl_category_adventure_1seg' (1 pages affected, 100.0% of total occurrences).",Routine hygiene cleanup: review multiple h1 on affected pages.,Template component: 'tpl_category_adventure_1seg',"[""https://www.drivio.in/adventure""]"
26,crawl_20260924_001246,cluster_heading_hierarchy_skipped_h2,heading_hierarchy_skipped_h2,headings,P3,low,1,1,tpl_category_application_1seg,template,"Observed on 1 URLs across 1 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 100.0% of total occurrences).",Routine hygiene cleanup: review heading hierarchy skipped h2 on affected pages.,Template component: 'tpl_category_application_1seg',"[""https://www.drivio.in/application""]"
27,crawl_20260924_001323,cluster_sitemap_url_has_noindex,sitemap_url_has_noindex,indexability,P0,critical,11,10,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 11 URLs across 10 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 18.2% of total occurrences).",Immediate engineering blocker: resolve sitemap url has noindex across 11 URLs.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/bird-scooters"", ""https://www.drivio.in/22motors/jawatest1""]"
28,crawl_20260924_001323,cluster_missing_title,missing_title,metadata,P0,critical,2,2,tpl_category_battre-electric-scooters-scooters_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 50.0% of total occurrences).",Immediate engineering blocker: resolve missing title across 2 URLs.,Template component: 'tpl_category_battre-electric-scooters-scooters_1seg',"[""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/bird-scooters""]"
29,crawl_20260924_001323,cluster_orphan_page,orphan_page,internal_linking,P1,medium,89,24,tpl_listing_bajaj_2seg,site_wide,"Observed on 89 URLs across 24 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 27.0% of total occurrences).",High-impact fix: update tpl_listing_bajaj_2seg layout to resolve orphan page across 89 pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/adventure"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/bird-scooters""]"
30,crawl_20260924_001323,cluster_missing_h1,missing_h1,headings,P1,high,2,2,tpl_category_application_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 50.0% of total occurrences).",High-impact fix: update tpl_category_application_1seg layout to resolve missing h1 across 2 pages.,Template component: 'tpl_category_application_1seg',"[""https://www.drivio.in/application"", ""https://www.drivio.in/""]"
31,crawl_20260924_001323,cluster_canonical_mismatch,canonical_mismatch,canonical,P1,low,1,1,tpl_listing_battre-electric-mobility_2seg,template,"Observed on 1 URLs across 1 templates. Primary concentration in 'tpl_listing_battre-electric-mobility_2seg' (1 pages affected, 100.0% of total occurrences).",High-impact fix: update tpl_listing_battre-electric-mobility_2seg layout to resolve canonical mismatch across 1 pages.,Template component: 'tpl_listing_battre-electric-mobility_2seg',"[""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie""]"
32,crawl_20260924_001323,cluster_empty_h1,empty_h1,headings,P2,high,4,3,tpl_model_Nmotors_2seg,template,"Observed on 4 URLs across 3 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_model_Nmotors_2seg' to supply unique structured content.,Template component: 'tpl_model_Nmotors_2seg',"[""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/bgauss/bgauss-c12i"", ""https://www.drivio.in/22motors/testmodel"", ""https://www.drivio.in/22motors/testmodel1""]"
33,crawl_20260924_001323,cluster_duplicate_title_tag,duplicate_title_tag,duplicates,P2,medium,4,3,tpl_model_Nmotors_2seg,template,"Observed on 4 URLs across 3 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_model_Nmotors_2seg' to supply unique structured content.,Template component: 'tpl_model_Nmotors_2seg',"[""https://www.drivio.in/22motors/jawatest1"", ""https://www.drivio.in/bgauss/bgauss-c12i"", ""https://www.drivio.in/22motors/testmodel"", ""https://www.drivio.in/22motors/testmodel1""]"
34,crawl_20260924_001323,cluster_thin_content,thin_content,content,P2,medium,2,2,tpl_category_application_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_application_1seg' (1 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_category_application_1seg' to supply unique structured content.,Template component: 'tpl_category_application_1seg',"[""https://www.drivio.in/application"", ""https://www.drivio.in/banking-partners""]"
35,crawl_20260924_001323,cluster_missing_meta_description,missing_meta_description,metadata,P2,medium,2,2,tpl_category_battre-electric-scooters-scooters_1seg,template,"Observed on 2 URLs across 2 templates. Primary concentration in 'tpl_category_battre-electric-scooters-scooters_1seg' (1 pages affected, 50.0% of total occurrences).",Important architectural improvement: revise Template component: 'tpl_category_battre-electric-scooters-scooters_1seg' to supply unique structured content.,Template component: 'tpl_category_battre-electric-scooters-scooters_1seg',"[""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/bird-scooters""]"
36,crawl_20260924_001323,cluster_empty_anchor_text,empty_anchor_text,internal_linking,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review empty anchor text on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/about-us"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application""]"
37,crawl_20260924_001323,cluster_missing_image_alt,missing_image_alt,images,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review missing image alt on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/about-us"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application""]"
38,crawl_20260924_001323,cluster_missing_image_dimensions,missing_image_dimensions,images,P3,low,109,44,tpl_listing_bajaj_2seg,site_wide,"Observed on 109 URLs across 44 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (24 pages affected, 22.0% of total occurrences).",Routine hygiene cleanup: review missing image dimensions on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/about-us"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application""]"
39,crawl_20260924_001323,cluster_long_title_truncated,long_title_truncated,metadata,P3,low,62,26,tpl_listing_bajaj_2seg,site_wide,"Observed on 62 URLs across 26 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (13 pages affected, 21.0% of total occurrences).",Routine hygiene cleanup: review long title truncated on affected pages.,Global layout / site-wide metadata service,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/aprilia-bikes"", ""https://www.drivio.in/avera-ev"", ""https://www.drivio.in/bajaj-bikes"", ""https://www.drivio.in/battre-electric-mobility-ev""]"
40,crawl_20260924_001323,cluster_long_meta_description,long_meta_description,metadata,P3,low,24,16,tpl_listing_bajaj_2seg,page_opportunity,"Observed on 24 URLs across 16 templates. Primary concentration in 'tpl_listing_bajaj_2seg' (5 pages affected, 20.8% of total occurrences).",Routine hygiene cleanup: review long meta description on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/adventure"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/amo-electric/jaunty-3w"", ""https://www.drivio.in/ampere/magnus"", ""https://www.drivio.in/ampere/reo-li-plus""]"
41,crawl_20260924_001323,cluster_low_text_to_html_ratio,low_text_to_html_ratio,content,P3,low,15,15,tpl_category_Nmotors-scooters_1seg,page_opportunity,"Observed on 15 URLs across 15 templates. Primary concentration in 'tpl_category_Nmotors-scooters_1seg' (1 pages affected, 6.7% of total occurrences).",Routine hygiene cleanup: review low text to html ratio on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/aeroride-ev"", ""https://www.drivio.in/aftek-motors-scooters"", ""https://www.drivio.in/amo-electric-ev"", ""https://www.drivio.in/ampere-ev"", ""https://www.drivio.in/application"", ""https://www.drivio.in/atumobile-ev"", ""https://www.drivio.in/avan-motors-scooters""]"
42,crawl_20260924_001323,cluster_page_has_nofollow,page_has_nofollow,internal_linking,P3,low,11,10,tpl_model_Nmotors_2seg,page_opportunity,"Observed on 11 URLs across 10 templates. Primary concentration in 'tpl_model_Nmotors_2seg' (2 pages affected, 18.2% of total occurrences).",Routine hygiene cleanup: review page has nofollow on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/22motors-scooters"", ""https://www.drivio.in/avan-motors-scooters"", ""https://www.drivio.in/avera-scooters-scooters"", ""https://www.drivio.in/bajaj-urbanite-scooters"", ""https://www.drivio.in/battre-electric-scooters-scooters"", ""https://www.drivio.in/big-dog-motorcycles-scooters"", ""https://www.drivio.in/bird-scooters"", ""https://www.drivio.in/22motors/jawatest1""]"
43,crawl_20260924_001323,cluster_template_empty_anchor_text,template_empty_anchor_text,internal_linking,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template empty anchor text on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-457"", ""https://www.drivio.in/ather-energy/450x"", ""https://www.drivio.in/avon/e-mate"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c""]"
44,crawl_20260924_001323,cluster_template_missing_image_alt,template_missing_image_alt,images,P3,medium,10,10,tpl_listing_aeroride_2seg,page_opportunity,"Observed on 10 URLs across 10 templates. Primary concentration in 'tpl_listing_aeroride_2seg' (1 pages affected, 10.0% of total occurrences).",Routine hygiene cleanup: review template missing image alt on affected pages.,Individual page content / route handlers,"[""https://www.drivio.in/aeroride/aero"", ""https://www.drivio.in/amo-electric/inspirer"", ""https://www.drivio.in/aprilia/rs-457"", ""https://www.drivio.in/ather-energy/450x"", ""https://www.drivio.in/avon/e-mate"", ""https://www.drivio.in/bajaj/avenger-cruise-220"", ""https://www.drivio.in/battre-electric-mobility/battre-electric-gps:ie"", ""https://www.drivio.in/benelli/502-c""]"
