url,brand,model,action_type,priority,issue_summary,evidence,recommended_fix,implementation_details
https://www.drivio.in/bikes/commuter,,Commuter,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/commuter,,Commuter,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/sports,,Sports,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 29.4% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/sports,,Sports,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/adventure,,Adventure,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/adventure,,Adventure,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/ktm,Ktm,Ktm,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/ktm,Ktm,Ktm,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/suzuki,Suzuki,Suzuki,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/suzuki,Suzuki,Suzuki,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/harley-davidson,Harley-Davidson,Harley Davidson,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/harley-davidson,Harley-Davidson,Harley Davidson,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/jawa,Jawa,Jawa,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/jawa,Jawa,Jawa,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/benelli,Benelli,Benelli,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/benelli,Benelli,Benelli,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/ducati,Ducati,Ducati,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/ducati,Ducati,Ducati,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/mahindra,,Mahindra,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/mahindra,,Mahindra,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/triumph,Triumph,Triumph,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/triumph,Triumph,Triumph,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/indian,,Indian,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/indian,,Indian,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/bmw,Bmw,Bmw,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/bmw,Bmw,Bmw,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/kawasaki,Kawasaki,Kawasaki,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/kawasaki,Kawasaki,Kawasaki,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/aprilia,Aprilia,Aprilia,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/aprilia,Aprilia,Aprilia,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/yezdi,Yezdi,Yezdi,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/yezdi,Yezdi,Yezdi,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/husqvarna-motorcycles,Husqvarna,Husqvarna Motorcycles,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/husqvarna-motorcycles,Husqvarna,Husqvarna Motorcycles,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/qj-motor,,Qj Motor,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/qj-motor,,Qj Motor,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/zontes,,Zontes,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/zontes,,Zontes,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/cf-moto,,Cf Moto,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/cf-moto,,Cf Moto,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/keeway,,Keeway,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/keeway,,Keeway,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/best,,Best,content_section,P0,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/best,,Best,schema,P0,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/bikes/latest,,Latest,content_section,P0,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/bikes/latest,,Latest,schema,P0,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/hero-electric,Hero,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/hero-electric,Hero,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/tork,Tork,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/tork,Tork,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/revolt,Revolt,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/revolt,Revolt,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/ultraviolette,Ultraviolette,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/ultraviolette,Ultraviolette,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/komaki,,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/komaki,,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/pure-ev,,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/pure-ev,,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/srivaru-motors,,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/srivaru-motors,,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
https://www.drivio.in/electric-vehicles/joy-e-bike,,Vehicle Model,content_section,P1,"Missing core automotive buyer sections: on_road_price, variants, specifications",Page covers 23.5% of expected automotive commercial sections.,"Add structured sections for: Add dedicated On Road Price section, Add dedicated Variants section, Add dedicated Specifications section.",Implement responsive content blocks in template with standardized specifications table.
https://www.drivio.in/electric-vehicles/joy-e-bike,,Vehicle Model,schema,P1,Missing Schema.org Product structured data,Current schema: Basic WebPage.,Implement Schema.org Product structured data with Offer and Brand entities,"Add JSON-LD script with @type: Product, name, brand, offers (price, priceCurrency, availability)."
